data_length,elapsed_time
100,0.0007002353668212891
200,0.0029367685317993166
300,0.007260251045227051
400,0.01026744842529297
500,0.01584348678588867
600,0.024280476570129394
700,0.03241796493530273
800,0.041720795631408694
900,0.058842825889587405
1000,0.10570056438446045
1100,0.12401750087738037
1200,0.14656226634979247
1300,0.1325066566467285
1400,0.13945014476776124
1500,0.1917006254196167
1600,0.19818611145019532
1700,0.21968839168548585
1800,0.22853829860687255
1900,0.24355592727661132
2000,0.2928063154220581
